date,symbol,highest_price,entry_price
2026-05-21,6597.T,5070.0,
2026-05-25,9238.T,541.0,
2026-05-26,2982.T,423.0,
2026-05-27,3723.T,2389.0,
2026-05-27,8308.T,2039.5,
2026-05-27,7734.T,3650.0,
2026-05-27,9238.T,541.0,
2026-05-27,8370.T,4240.0,
2026-05-28,8370.T,4240.0,
2026-05-28,8308.T,2039.5,
2026-05-28,6370.T,8753.0,
2026-05-28,6651.T,4725.0,
2026-05-28,8377.T,6456.0,
2026-05-29,8370.T,4240.0,
2026-05-29,8366.T,2002.0,
2026-05-29,6370.T,8753.0,
2026-05-29,8368.T,1906.0,
2026-05-29,7180.T,1382.0,
2026-05-30,6370.T,8753.0,8753.0
2026-05-30,8368.T,1906.0,1906.0
2026-05-30,7180.T,1382.0,1382.0
